season,stage,opponent,venue,score,goals
2015-16,Group stage,Malmö FF,Home,8-0,4
2015-16,Group stage,Shakhtar Donetsk,Home,4-0,3
2015-16,Quarter-final,VfL Wolfsburg,Home,3-0,3
2016-17,Quarter-final,Bayern München,Home,4-2,3
2016-17,Semi-final,Atlético Madrid,Home,3-0,3
2015-16,Group stage,Malmö FF,Away,2-0,2
2015-16,Group stage,Shakhtar Donetsk,Away,4-3,2
2016-17,Quarter-final,Bayern München,Away,2-1,2
2016-17,Final,Juventus,Away,4-1,2
2017-18,Group stage,APOEL Nikosia,Home,3-0,2
2017-18,Group stage,Borussia Dortmund,Away,3-1,2
2017-18,Group stage,APOEL Nikosia,Away,6-0,2
2017-18,Round of 16,Paris Saint-Germain,Home,3-1,2
2017-18,Quarter-final,Juventus,Away,3-0,2
