season,stage,opponent,venue,rm_gf,rm_ga,result,is_knockout,ronaldo_goals,goal_minutes,matched
2015-16,Group stage,Shakhtar Donetsk,Home,4,0,W,False,3,55|63|81,True
2015-16,Group stage,Malmö FF,Away,2,0,W,False,2,29|90,True
2015-16,Group stage,Paris Saint-Germain,Away,0,0,D,False,0,,True
2015-16,Group stage,Paris Saint-Germain,Home,1,0,W,False,0,,True
2015-16,Group stage,Shakhtar Donetsk,Away,4,3,W,False,2,18|70,True
2015-16,Group stage,Malmö FF,Home,8,0,W,False,4,39|47|50|59,True
2015-16,Round of 16,AS Roma,Away,2,0,W,True,1,57,True
2015-16,Round of 16,AS Roma,Home,2,0,W,True,1,64,True
2015-16,Quarter-final,VfL Wolfsburg,Away,0,2,L,True,0,,True
2015-16,Quarter-final,VfL Wolfsburg,Home,3,0,W,True,3,15|17|77,True
2015-16,Semi-final,Manchester City,Away,0,0,D,True,0,,True
2015-16,Semi-final,Manchester City,Home,1,0,W,True,0,,True
2015-16,Final,Atlético Madrid,Home,1,1,W,True,0,,True
2016-17,Group stage,Sporting CP,Home,2,1,W,False,1,89,True
2016-17,Group stage,Borussia Dortmund,Away,2,2,D,False,1,17,True
2016-17,Group stage,Legia Warszawa,Home,5,1,W,False,0,,True
2016-17,Group stage,Legia Warszawa,Away,3,3,D,False,0,,True
2016-17,Group stage,Sporting CP,Away,2,1,W,False,0,,True
2016-17,Group stage,Borussia Dortmund,Home,2,2,D,False,0,,True
2016-17,Round of 16,SSC Napoli,Home,3,1,W,True,0,,True
2016-17,Round of 16,SSC Napoli,Away,3,1,W,True,0,,True
2016-17,Quarter-final,Bayern München,Away,2,1,W,True,2,47|77,True
2016-17,Quarter-final,Bayern München,Home,4,2,W,True,3,76|105|110,True
2016-17,Semi-final,Atlético Madrid,Home,3,0,W,True,3,10|73|86,True
2016-17,Semi-final,Atlético Madrid,Away,1,2,L,True,0,,True
2016-17,Final,Juventus,Away,4,1,W,True,2,20|64,True
2017-18,Group stage,APOEL Nikosia,Home,3,0,W,False,2,12|51,True
2017-18,Group stage,Borussia Dortmund,Away,3,1,W,False,2,49|79,True
2017-18,Group stage,Tottenham Hotspur,Home,1,1,D,False,1,43,True
2017-18,Group stage,Tottenham Hotspur,Away,1,3,L,False,1,80,True
2017-18,Group stage,APOEL Nikosia,Away,6,0,W,False,2,49|54,True
2017-18,Group stage,Borussia Dortmund,Home,3,2,W,False,1,12,True
2017-18,Round of 16,Paris Saint-Germain,Home,3,1,W,True,2,45|83,True
2017-18,Round of 16,Paris Saint-Germain,Away,2,1,W,True,1,51,True
2017-18,Quarter-final,Juventus,Away,3,0,W,True,2,3|64,True
2017-18,Quarter-final,Juventus,Home,1,3,L,True,1,90,True
2017-18,Semi-final,Bayern München,Away,2,1,W,True,0,,True
2017-18,Semi-final,Bayern München,Home,2,2,D,True,0,,True
2017-18,Final,Liverpool FC,Home,3,1,W,True,0,,True
